Code,Name,Station name Chinese,Station name Tamil,Opening,Name(s) during planning stages,Abbreviation,Location(s),Interchange; Adjacent transportation
CC20,Farrer Road,花拉路,ஃபேரர் சாலை,8-Oct-11,"Farrer, Farrer Road / Woollerton",FRR,"Bukit Timah, Tanglin",—
CC21,Holland Village,荷兰村,ஹாலந்து வில்லேஜ்,8-Oct-11,"Holland, Holland Village / Chip Bee",HLV,"Bukit Timah, Queenstown",—
CC22  EW21,Buona Vista,波那维斯达,புவன விஸ்தா,8-Oct-11,Buona Vista,BNV,Queenstown,"East West Line
― 
 Buona Vista
 Ghim Moh"
CC23,one-north,纬壹,ஒன்-நார்த்,8-Oct-11,one-north / Portsdown / Ayer Rajah,ONH,Queenstown,—
CC24,Kent Ridge,肯特岗,கெண்ட் ரிஜ்,8-Oct-11,National University Hospital / Kent Ridge,KRG,Queenstown,—
CC25,Haw Par Villa,虎豹别墅,ஹா பர் வில்லா,8-Oct-11,West Coast / Haw Par Villa,HPV,Queenstown,—
CC26,Pasir Panjang,巴西班让,பாசிர் பாஞ்சாங்,8-Oct-11,Pasir Panjang / Bukit Chandu,PPJ,Queenstown,—
CC27,Labrador Park,拉柏多公园,லாப்ரடார் பூங்கா,8-Oct-11,Alexandra / Tanjong Berlayar,LBD,Bukit Merah,—
CC28,Telok Blangah,直落布兰雅,தெலுக் பிளாங்கா,8-Oct-11,Telok Blangah / Keppel,TLB,Bukit Merah,—
CC29  NE1,HarbourFront,港湾,துறைமுகம்,8-Oct-11,HarbourFront,HBF,Bukit Merah,"North East Line
―
 HarbourFront
―
 Sentosa Express VivoCity
 Singapore Cable Car Mount Faber Line
 HarbourFront Centre 
 Singapore Cruise Centre"
Circle Line Stage 6,Circle Line Stage 6,Circle Line Stage 6,Circle Line Stage 6,Circle Line Stage 6,Circle Line Stage 6,Circle Line Stage 6,Circle Line Stage 6,Circle Line Stage 6
—,Keppel,吉宝,கெப்பல்,2026,Keppel / Keppel Harbour / Keppel Port,KPL,Bukit Merah,—
—,Cantonment,广东民,கெண்டொன்மன்,2026,Cantonment / Tanjong Pagar West / Spottiswoode,CTM,Bukit Merah,—
—,Prince Edward Road,爱德华太子路,பிரின்ஸ் எட்வர்ட் ரோடு,2026,"Prince Edward, Prince Edward Road / Palmer / Marina Coastal",PER,Downtown Core,—
Circle Line Extension (CCLe),Circle Line Extension (CCLe),Circle Line Extension (CCLe),Circle Line Extension (CCLe),Circle Line Extension (CCLe),Circle Line Extension (CCLe),Circle Line Extension (CCLe),Circle Line Extension (CCLe),Circle Line Extension (CCLe)
CE1  DT16,Bayfront,海湾舫,பேஃபிரண்ட்,14-Jan-12,Bayfront / Marina Bay Sands,BFT,Downtown Core,Downtown Line
CE2  NS27,Marina Bay,滨海湾,மரீனா பே,14-Jan-12,Marina Bay,MRB,"Downtown Core, Straits View Planning Area",North South Line
Downtown Line (DTL),Downtown Line (DTL),Downtown Line (DTL),Downtown Line (DTL),Downtown Line (DTL),Downtown Line (DTL),Downtown Line (DTL),Downtown Line (DTL),Downtown Line (DTL)
—,Sungei Kadut,双溪加株,சுங்கை காடுத்,Mid-2030s,Sungei Kadut,TBA,Sungei Kadut,
